"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 17 22:44:14 UTC 2021","Wed Mar 17 22:44:14 UTC 2021","0","","predicates/call_N/tests.lgt::tests","","tests","","iso_call_N_05",""
"passed","Wed Mar 17 22:45:02 UTC 2021","Wed Mar 17 22:45:02 UTC 2021","0","","predicates/current_prolog_flag_2/tests.lgt::tests","","tests","","iso_current_prolog_flag_2_04",""
"passed","Wed Mar 17 22:48:34 UTC 2021","Wed Mar 17 22:48:34 UTC 2021","0","","predicates/term_comparison/tests.lgt::tests","","tests","","lgt_term_comparison_20",""
"passed","Wed Mar 17 22:42:51 UTC 2021","Wed Mar 17 22:42:51 UTC 2021","0","","functions/sinh_1/tests.lgt::tests","","tests","","lgt_sinh_1_03",""
"passed","Wed Mar 17 22:46:48 UTC 2021","Wed Mar 17 22:46:48 UTC 2021","0","","predicates/numbervars_3/tests.lgt::tests","","tests","","commons_numbervars_3_06",""
"passed","Wed Mar 17 22:42:36 UTC 2021","Wed Mar 17 22:42:36 UTC 2021","0","","functions/rem_2/tests.lgt::tests","","tests","","lgt_rem_2_01",""
"passed","Wed Mar 17 22:46:05 UTC 2021","Wed Mar 17 22:46:05 UTC 2021","0","","predicates/is_2/tests.lgt::tests","","tests","","iso_is_2_02",""
"passed","Wed Mar 17 22:44:58 UTC 2021","Wed Mar 17 22:44:58 UTC 2021","0","","predicates/current_predicate_1/tests.lgt::tests","","tests","","lgt_current_predicate_1_14",""
"passed","Wed Mar 17 22:40:03 UTC 2021","Wed Mar 17 22:40:03 UTC 2021","0","","control/if_then_2/tests.lgt::tests","","tests","","lgt_if_then_2_11",""
"passed","Wed Mar 17 22:45:10 UTC 2021","Wed Mar 17 22:45:10 UTC 2021","0","","predicates/findall_3/tests.lgt::tests","","tests","","sics_findall_3_09",""
"passed","Wed Mar 17 22:39:59 UTC 2021","Wed Mar 17 22:39:59 UTC 2021","0","","control/if_3/tests.lgt::tests","","tests","","if_3_01",""
"passed","Wed Mar 17 22:44:18 UTC 2021","Wed Mar 17 22:44:18 UTC 2021","0","","predicates/callable_1/tests.lgt::tests","","tests","","iso_callable_1_04",""
